2024/01/04 04:54:41 [error] 15#15: *2 "/var/www/html/index.php" is not found (2: No such file or directory), client: 10.89.0.22, server: , request: "GET / HTTP/1.1", host: "localhost:8080"
2024/01/04 04:54:41 [error] 15#15: *2 "/var/www/html/index.php" is not found (2: No such file or directory), client: 10.89.0.22, server: , request: "GET / HTTP/1.1", host: "localhost:8080"
2024/01/04 04:54:43 [error] 15#15: *2 open() "/var/www/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.22, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 04:54:48 [error] 15#15: *3 "/var/www/html/index.php" is not found (2: No such file or directory), client: 10.89.0.22, server: , request: "GET / HTTP/1.1", host: "localhost:8080"
2024/01/04 04:54:49 [error] 15#15: *5 open() "/var/www/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.22, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 04:54:58 [error] 15#15: *7 open() "/var/www/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.22, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 04:54:59 [error] 15#15: *10 "/var/www/html/index.php" is not found (2: No such file or directory), client: 10.89.0.22, server: , request: "GET / HTTP/1.1", host: "localhost:8080"
2024/01/04 04:55:01 [error] 15#15: *10 open() "/var/www/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.22, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 04:59:42 [error] 15#15: *2 open() "/var/www/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.33, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 04:59:44 [error] 15#15: *4 "/var/www/html/index.php" is not found (2: No such file or directory), client: 10.89.0.33, server: , request: "GET / HTTP/1.1", host: "localhost:8080"
2024/01/04 04:59:46 [error] 15#15: *4 open() "/var/www/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.33, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 04:59:47 [error] 15#15: *4 open() "/var/www/html/html" failed (2: No such file or directory), client: 10.89.0.33, server: , request: "GET /html HTTP/1.1", host: "localhost:8080"
2024/01/04 04:59:49 [error] 15#15: *6 open() "/var/www/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.33, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 04:59:52 [error] 15#15: *6 "/var/www/html/index.php" is not found (2: No such file or directory), client: 10.89.0.33, server: , request: "GET / HTTP/1.1", host: "localhost:8080"
2024/01/04 04:59:54 [error] 15#15: *8 open() "/var/www/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.33, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 05:36:10 [error] 15#15: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 10.89.0.60, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://10.89.0.61:9000", host: "localhost:8080"
2024/01/04 05:36:12 [error] 15#15: *2 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.60, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 05:36:25 [error] 15#15: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 10.89.0.60, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://10.89.0.61:9000", host: "localhost:8080"
2024/01/04 05:36:26 [error] 15#15: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 10.89.0.60, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://10.89.0.61:9000", host: "localhost:8080"
2024/01/04 05:36:27 [error] 15#15: *5 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.60, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 05:36:33 [error] 15#15: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 10.89.0.60, server: , request: "GET /index.php HTTP/1.1", upstream: "fastcgi://10.89.0.61:9000", host: "localhost:8080"
2024/01/04 05:36:35 [error] 15#15: *8 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.60, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
2024/01/04 05:38:49 [error] 15#15: *4 open() "/usr/share/nginx/html/firebase-messaging-sw.js" failed (2: No such file or directory), client: 10.89.0.62, server: , request: "GET /firebase-messaging-sw.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/firebase-messaging-sw.js"
